,Closed right sidebar,Deleted comment,Resetted password,Viewed /auth/login Page,Clicked View all announcements,Viewed /onboarding Page,End,Viewed /invitation Page,Viewed link,Created comment,Viewed /auth/reset-password Page,Finished onboarding,Viewed space,Viewed /auth/register Page,Viewed /about/privacy-policy Page,Viewed content,Opened right sidebar from a content list item,Logged out,Opened right sidebar from the toolbar,Downloaded file,Opened intercom,Logged in,Viewed /onboarding/space Page,Viewed /about/tos Page,Viewed announcements,Start,Viewed / Page,Opened left sidebar,Viewed /auth/instant-login Page,Viewed folder,Opened drop down menu for comment,Viewed notifications
Closed right sidebar,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.07317073170731707,0.0,0.0,0.0,0.17073170731707318,0.0,0.0,0.17073170731707318,0.04878048780487805,0.0,0.04878048780487805,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.3170731707317073,0.0,0.0
Deleted comment,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resetted password,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /auth/login Page,0.0,0.0,0.0,0.10240963855421686,0.006024096385542169,0.0,0.18674698795180722,0.006024096385542169,0.0,0.0,0.04216867469879518,0.0,0.1927710843373494,0.0,0.0,0.0,0.0,0.0963855421686747,0.0,0.0,0.0,0.25301204819277107,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.10240963855421686,0.0,0.0
Clicked View all announcements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963369963369964,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0
Viewed /onboarding Page,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20238095238095238,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.2976190476190476,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.4523809523809524,0.0,0.0
End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewed /invitation Page,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed link,0.0,0.0,0.0,0.0006234413965087282,0.0,0.0,0.334788029925187,0.0,0.16895261845386533,0.0,0.0,0.0,0.32980049875311723,0.0,0.0,0.13403990024937656,0.0012468827930174563,0.0006234413965087282,0.0,0.0012468827930174563,0.0,0.026184538653366583,0.0,0.0,0.0,0.0,0.0,0.0012468827930174563,0.0,0.0012468827930174563,0.0,0.0
Created comment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Viewed /auth/reset-password Page,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0
Finished onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed space,0.0006970260223048327,0.0,0.0,0.0060408921933085506,0.02741635687732342,0.00046468401486988845,0.10025557620817843,0.00546003717472119,0.00011617100371747211,0.0,0.0,0.0,0.005924721189591078,0.0,0.0,0.001974907063197026,0.0024395910780669145,0.0005808550185873606,0.0,0.00011617100371747211,0.00011617100371747211,0.051347583643122675,0.0025557620817843866,0.0,0.00034851301115241634,0.0,0.0,0.03856877323420074,0.0,0.7553438661710037,0.0,0.00023234200743494423
Viewed /auth/register Page,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /about/privacy-policy Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Viewed content,0.0,0.0,0.0,0.0008045052292839903,0.0,0.0,0.34365781710914456,0.0010726736390453205,0.014749262536873156,0.00013408420488066506,0.0,0.0,0.14896755162241887,0.0,0.0,0.2606596942880129,0.0002681684097613301,0.00013408420488066506,0.002011263073209976,0.1465540359345669,0.00013408420488066506,0.06798069187449718,0.0,0.0,0.0,0.0,0.0,0.002279431482971306,0.00013408420488066506,0.010458567980691875,0.0,0.0
Opened right sidebar from a content list item,0.3220338983050847,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.13559322033898305,0.0,0.0,0.01694915254237288,0.03389830508474576,0.0,0.0,0.1864406779661017,0.0,0.2033898305084746,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.06779661016949153,0.0,0.0
Logged out,0.0,0.0,0.02666666666666667,0.02666666666666667,0.0,0.0,0.4666666666666667,0.0,0.013333333333333334,0.0,0.08,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.02666666666666667,0.0,0.0,0.0
