,Viewed / Page,Viewed content,Resetted password,Viewed /auth/instant-login Page,Viewed folder,Viewed /invitation Page,Downloaded file,End,Viewed /about/tos Page,Viewed announcements,Viewed /auth/register Page,Clicked View all announcements,Closed right sidebar,Viewed /onboarding/space Page,Opened intercom,Finished onboarding,Start,Opened left sidebar,Viewed /auth/login Page,Viewed /onboarding Page,Opened right sidebar from the toolbar,Viewed /auth/reset-password Page,Logged out,Viewed link,Viewed space,Viewed /about/privacy-policy Page,Opened right sidebar from a content list item,Logged in
Viewed / Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed content,0.0,0.22351571594877764,0.0,0.0011641443538998836,0.020954598370197905,0.002328288707799767,0.12572759022118743,0.33993015133876603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004656577415599534,0.0,0.0,0.006984866123399301,0.0,0.0011641443538998836,0.009313154831199068,0.13154831199068684,0.0,0.0011641443538998836,0.13154831199068684
Resetted password,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Viewed /auth/instant-login Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Viewed folder,0.0,0.4910913140311804,0.0,0.0,0.0,0.0,0.0,0.06570155902004454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004454342984409799,0.0,0.0,0.0011135857461024498,0.0,0.0,0.14365256124721604,0.2516703786191537,0.0,0.02338530066815145,0.01893095768374165
Viewed /invitation Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Downloaded file,0.0,0.17829457364341086,0.0,0.0,0.007751937984496124,0.0,0.031007751937984496,0.5426356589147286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.007751937984496124,0.12403100775193798,0.0,0.007751937984496124,0.09302325581395349
End,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewed /about/tos Page,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed announcements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0
Viewed /auth/register Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clicked View all announcements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Closed right sidebar,0.0,0.21428571428571427,0.0,0.0,0.39285714285714285,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.17857142857142858,0.0,0.07142857142857142,0.03571428571428571
Viewed /onboarding/space Page,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.041666666666666664
Opened intercom,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finished onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Start,0.0,0.03872752420470263,0.0,0.0,0.04702627939142462,0.0,0.0027662517289073307,0.0,0.0,0.0,0.0013831258644536654,0.0,0.0013831258644536654,0.0013831258644536654,0.0,0.0,0.0,0.0013831258644536654,0.030428769017980636,0.0,0.0,0.0,0.0013831258644536654,0.0,0.06500691562932227,0.0,0.0,0.8091286307053942
Opened left sidebar,0.0,0.0,0.0,0.0,0.49074074074074076,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.027777777777777776,0.0,0.0,0.09259259259259259,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.12037037037037036,0.0,0.018518518518518517,0.009259259259259259
Viewed /auth/login Page,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.2909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.09090909090909091,0.0,0.3090909090909091,0.0,0.0,0.14545454545454545
Viewed /onboarding Page,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.05263157894736842,0.15789473684210525
Opened right sidebar from the toolbar,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
Viewed /auth/reset-password Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Logged out,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,0.0,0.043478260869565216,0.0,0.0,0.2608695652173913
