Viewed content/all,Viewed content/topic
23,334
5,0
1,46
9,1
33,0
20,11
80,4
344,2
5,0
31,0
4,1
1,1
1,9
0,3
27,8
27,58
0,34
26,1
125,1
539,2
169,2
1,1
1,0
216,0
230,0
1,22
9,29
8,84
45,97
52,5
21,1
45,0
158,0
1,72
32,22
22,4
23,6
19,1
7,12
0,0
1,0
11,107
1,0
1,1
14,0
84,13
1,756
1382,3
169,1
222,2
3,7
9,4
610,8
0,5
2,1
14,0
2,1
8,11
0,101
1,2
31,1
0,0
64,0
0,1
17,3
4,0
12,157
7,0
2,1
1,1
783,184
0,1
103,0
0,0
0,0
1,0
0,1
0,0
0,0
169,0
0,0
422,0
30,1
302,0
0,0
1,0
3,1
1,0
19,94
1,199
0,54
172,1
0,1
1,28
0,20
34,0
215,0
8,20
0,1
1,0
24,198
1,30
2,0
11,18
0,1
1,1
750,0
15,0
63,30
1,4
6,12
16,1
1,13
22,99
40,1
70,3
29,0
49,3
5,41
299,8
4,1
1,70
10,7
40,9
8,1
2,1
1,233
2,334
9,5
27,13
666,1
1,7
985,0
0,3
206,3
0,1
404,2
123,37
1,2
542,23
0,1
0,488
3,2
18,29
0,0
47,1
4,3
859,0
1,186
12,8
0,1
13,990
6,1
5,4
0,0
0,43
0,1
66,1
0,1
0,0
0,6
521,55
26,160
22,25
0,1
0,92
1,0
115,1
8,7
19,0
17,1
72,51
5,0
9,0
91,8
0,0
0,1
0,6
0,94
1,0
0,1
0,9
0,0
0,0
191,0
0,0
1,1
0,0
2,423
10,1
2,1
0,18
1099,6
0,519
0,7
1,9
2,1
1,0
0,8
3,13
4,79
6,182
0,4
0,2
59,924
0,59
0,82
5,11
1,181
1,14
0,25
4,1
5,6
1,6
0,24
1,8
9,6
0,156
0,1
24,13
42,346
1,338
0,0
1,1
1,0
798,5
47,0
0,23
0,13
1,7
10,15
11,7
23,14
0,0
0,130
0,0
1,3
292,32
10,0
6,1
618,1
39,0
0,0
197,15
0,0
19,29
0,7
1,6
91,15
1,4
0,3
1,1
0,499
13,69
1,0
0,38
0,9
11,25
10,9
6,13
0,5
0,39
1,197
0,98
3,86
17,4
6,61
132,6
0,12
23,0
7,64
49,1
103,0
281,1
701,1
3,0
0,1
2,8
4,26
0,0
0,11
0,1
0,45
0,97
0,10
0,8
1,0
11,1
478,44
9,18
29,2
41,3
30,2
31,1
15,18
0,6
27,10
1,1600
1,224
0,1
1059,0
0,0
3,0
1,49
3,101
14,76
233,0
558,1
3,0
92,1
0,1
624,0
1,7
1,14
1,1
298,1
175,13
126,34
180,1
168,117
251,1
1,0
1,6
10,0
1,30
74,0
192,10
1,0
1,3
236,0
0,0
0,58
0,0
0,21
0,6
266,0
0,77
1,0
157,1
1,1
1,0
3,0
13,0
725,9
30,3
0,380
0,3
4,14
495,0
1,1
0,69
2,1
24,0
11,375
46,20
23,3
203,47
141,1
102,7
1,0
0,9
268,3
0,0
33,1170
0,4
15,4
1051,666
5,165
43,2
15,710
699,755
67,587
67,1
150,109
330,37
705,0
11,0
1,1
557,1
1,7
28,21
18,611
32,14
520,0
3,1
58,0
771,1
10,1
124,435
34,123
1,0
0,0
1,18
180,6
0,2
1,4
4,14
0,41
468,1
0,44
8,7
0,0
7,15
8,46
2,1
71,80
146,1
449,18
1,165
5,1
17,26
2,21
92,45
1,4
2,0
9,7
1,3
5,5
0,40
9,98
191,926
118,657
2,40
24,0
0,197
0,1073
13,0
34,164
0,9
0,11
0,25
64,3
12,0
132,26
344,81
70,0
1,45
34,0
88,0
1,29
6,95
0,0
215,0
1143,3
89,0
15,32
1,0
0,14
76,9
0,10
1,6
190,10
0,10
1,3
19,0
16,3
4,0
0,1
25,1
21,363
19,71
7,72
7,50
48,56
4,103
46,122
4,83
15,3
4,6
75,1050
35,43
26,27
38,59
4,6
44,43
10,38
0,113
0,62
8,19
0,60
0,67
0,860
0,1
0,79
0,42
30,233
0,34
45,1
14,1
7,1
20,1
0,4
7,57
43,0
8,0
0,1221
8,0
67,1749
6,2
6,7
15,8
2,23
15,37
4,0
3,54
2,0
44,65
6,0
4,20
39,11
0,28
7,1
69,62
101,0
20,1
0,1
2,0
14,5
1,4
781,18
5,1
0,0
95,22
0,4
0,0
14,2
11,6
17,2
26,0
7,59
18,1
10,9
26,1
1,18
12,40
0,171
7,1
0,1
72,1
1,35
21,58
9,49
1,40
0,0
16,1
3,13
0,0
0,22
189,18
26,13
1,7
2,0
5,1
0,69
0,0
1,62
0,332
2,10
25,14
227,23
260,13
0,25
0,42
12,186
8,1
25,1
149,0
22,0
0,1
39,0
15,16
77,2
0,0
161,9
25,4
1,10
563,13
15,0
43,1
7,0
10,1
5,21
9,0
