Viewed content/topic,Viewed content/all
1,1
0,1
5,1
0,1
1,3
1,1
4,10
1,1
1,1
1,0
0,1
1,1
1,1
0,7
1,1
1,1
1,23
0,0
0,0
0,0
1,24
1,1
1,1
1,1
1,1
0,3
0,5
1,1
1,1
1,1
1,1
1,1
2,2
0,1
1,1
1,1
1,0
0,0
1,1
1,2
1,1
1,1
1,1
1,0
0,1
0,1
0,0
1,1
5,0
0,1
1,16
0,1
1,1
0,1
1,1
1,8
1,1
1,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
1,1
0,1
1,1
0,0
0,26
0,10
1,10
1,0
6,0
6,1
1,1
1,1
1,1
0,8
1,1
1,0
1,0
1,1
0,0
1,1
1,1
0,1
0,1
1,1
0,1
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,1
0,2
0,10
1,1
1,1
33,0
5,0
4,0
1,6
0,1
1,4
1,1
1,1
1,0
1,1
0,1
1,1
1,1
1,1
1,1
1,1
0,0
1,2
1,0
1,1
3,1
1,1
2,1
1,0
1,0
1,1
1,1
1,0
1,8
0,1
0,13
0,1
1,0
1,1
0,1
1,1
1,1
7,1
1,1
1,1
1,1
1,1
1,2
1,2
0,1
0,1
0,2
0,2
1,1
1,1
20,1
0,0
1,0
1,1
1,1
3,1
1,0
1,2
0,3
1,14
1,1
4,2
1,1
1,1
2,1
0,1
1,2
1,1
109,2
1,2
1,2
1,1
1,1
1,1
0,1
0,1
0,3
1,2
1,1
1,1
1,0
0,1
1,1
8,0
1,1
1,0
1,1
1,5
0,0
1,0
1,1
2,5
1,1
1,1
0,1
1,1
0,0
0,0
1,1
2,1
1,0
1,1
1,0
2,1
1,1
1,1
5,1
1,2
0,2
0,1
1,1
1,5
0,1
0,2
0,1
1,2
1,1
1,0
1,0
1,0
1,0
1,1
1,2
1,1
1,1
1,1
1,1
1,0
1,1
1,6
1,1
1,0
1,1
1,0
1,0
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
1,0
1,0
1,19
1,1
0,2
0,1
0,1
0,1
0,34
0,1
1,0
1,0
0,2
2,1
1,1
0,1
1,0
1,1
0,0
1,1
2,1
2,7
0,1
1,1
1,3
1,4
1,9
1,1
0,10
1,7
2,1
0,6
1,1
1,1
1,1
0,1
1,0
0,1
0,1
1,0
1,0
0,1
0,0
1,1
1,0
1,0
1,0
11,0
3,5
1,1
0,0
1,1
1,10
2,6
0,1
1,1
1,0
1,0
1,0
2,5
1,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,1
1,0
5,1
0,1
1,0
1,0
1,0
1,1
1,0
0,1
0,1
1,1
1,1
0,1
0,1
0,1
1,1
0,0
0,4
1,1
0,1
0,1
1,1
0,0
7,0
1,0
0,1
5,1
1,1
1,1
1,1
1,2
1,9
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,95
1,1
1,1
1,1
1,1
1,1
1,1
1,41
0,10
2,1
1,3
1,5
1,3
1,2
1,1
1,1
1,1
1,0
1,1
2,2
4,1
0,1
0,1
1,1
1,0
0,0
1,0
0,1
1,1
1,1
1,1
4,2
1,0
0,1
1,1
1,0
0,1
1,1
1,1
1,15
3,1
1,1
1,21
1,1
1,19
1,1
54,1
7,9
12,1
1,0
0,1
3,0
1,1
1,2
1,2
1,4
1,1
1,2
1,1
1,1
3,1
1,2
1,1
2,1
1,1
1,3
0,14
4,3
1,4
1,7
1,4
1,6
0,1
19,1
2,1
2,0
1,1
1,5
1,9
1,2
1,1
1,1
1,0
1,0
1,1
1,1
0,7
1,2
3,7
0,1
0,5
0,1
1,1
1,3
0,1
1,1
1,0
1,1
1,1
1,1
1,5
0,7
728,9
1,1
1,89
1,1
0,6
0,5
1,2
3,23
0,3
1,3
0,1
1,1
2,1
5,1
1,2
1,1
1,0
1,0
1,1
0,0
0,1
0,0
0,3
0,0
0,0
0,1
0,0
1,5
0,0
0,0
0,1
0,0
0,0
4,1
1,0
1,0
0,1
2,7
0,8
0,0
0,0
1,1
0,1
0,1
1,1
7,1
4,1
0,0
1,0
1,1
1,1
1,1
0,2
0,1
0,1
1,1
1,1
0,1
1,1
1,7
0,1
1,1
0,2
1,1
1,3
1,0
1,0
1,0
1,1
2,1
2,11
2,1
1,1
0,1
0,1
7,7
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
1,1
2,0
1,1
2,1
0,1
2,1
0,208
1,1
1,1
0,27
1,0
1,1
1,1
1,1
5,5
1,1
1,1
1,0
3,1
7,3
1,2
1,2
1,1
1,1
1,0
1,1
9,12
3,6
1,0
0,2
1,1
1,1
1,1
1,18
0,18
0,19
1,1
1,4
1,1
1,1
1,34
1,1
0,1
1,1
0,107
0,1
1,1
3,1
0,0
3,1
0,0
1,1
1,1
2,1
1,2
1,0
1,72
1,1
5,8
1,1
1,7
1,3
4,11
1,1
0,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
0,3
10,0
0,0
1,1
0,0
1,0
1,1
72,0
1,1
0,0
1,0
0,1
0,0
1,0
1,1
1,0
2,0
1,0
1,1
