Saved changes,Selected all topics,Logged in through login-screen,Viewed content,Viewed feed/topic,Redirecting to media,Viewed notification,Viewed feedItem,Navigating to feed overview,Viewed feed/findOne,Viewed content/all,Viewed space,Logged in,Viewed /auth/login Page,UTM events,Viewed link,Navigating to content overview,Viewed notifications,Opened intercom,Created content,Opened drop down menu for feed item,Viewed feed/all,Viewed /auth/register Page,Viewed content/topic,Selected topic,Created comment,Uploaded file,Downloaded file,Logged out
0,0,-1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,1
,0,0,0,0,0,,0,0,0,26,0,0,0,,0,0,0,0,0,0,0,0,-1,0,,,0,
,0,0,0,0,0,,0,0,0,18,0,0,,,0,0,0,0,0,,0,,0,0,,,0,
,0,0,0,0,0,,0,0,0,6,0,0,,,0,0,0,0,0,,0,,-1,0,,,0,
,0,,-1,0,,,0,0,,0,0,-1,,,0,0,0,0,0,,0,,14,0,,,0,
,0,,0,0,,,0,,,-1,0,0,,,0,0,0,,0,,0,,1,0,,,5,
,0,,0,0,,,0,,,206,0,0,,,-1,0,0,,0,,0,,0,0,,,11,
,0,,0,0,,,0,,,229,0,0,,,,0,0,,0,,0,,-1,0,,,0,
,0,,0,0,,,0,,,-1,0,0,,,,0,0,,0,,0,,12,0,,,1,
,0,,0,0,,,0,,,9,0,0,,,,0,0,,0,,0,,755,0,,,0,
,0,,0,0,,,0,,,51,0,0,,,,0,0,,0,,0,,11,0,,,5,
,0,,0,0,,,0,,,20,0,0,,,,0,0,,0,,0,,100,0,,,0,
,0,,0,0,,,0,,,44,0,0,,,,0,0,,,,0,,154,0,,,0,
,,,21,0,,,0,,,151,0,2,,,,0,0,,,,0,,-1,0,,,0,
,,,,0,,,0,,,31,0,0,,,,0,0,,,,0,,198,0,,,0,
,,,,0,,,0,,,21,0,0,,,,0,0,,,,0,,53,0,,,0,
,,,,0,,,0,,,-1,0,0,,,,0,0,,,,0,,-1,0,,,0,
,,,,0,,,0,,,8,0,0,,,,0,0,,,,0,,-1,0,,,0,
,,,,0,,,0,,,-1,0,0,,,,0,0,,,,0,,30,0,,,0,
,,,,0,,,0,,,1,0,0,,,,,0,,,,0,,-1,0,,,0,
,,,,0,,,0,,,0,0,5,,,,,0,,,,0,,17,0,,,,
,,,,0,,,0,,,40,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,199,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,0,0,0,,,,,0,,,,0,,4,0,,,,
,,,,0,,,0,,,1078,0,-1,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,0,0,-1,,,,,0,,,,0,,70,0,,,,
,,,,0,,,0,,,1,0,0,,,,,0,,,,0,,7,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,0,,,,0,,8,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,0,,,,0,,232,0,,,,
,,,,0,,,0,,,608,0,0,,,,,0,,,,0,,333,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,0,0,0,,,,,0,,,,0,,0,0,,,,
,,,,0,,,0,,,-1,0,6,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,3,0,0,,,,,0,,,,0,,24,0,,,,
,,,,0,,,0,,,8,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,4,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,0,,,,0,,181,0,,,,
,,,,0,,,0,,,11,0,21,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,0,,,,0,,42,0,,,,
,,,,0,,,0,,,752,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,102,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,1,,,0,,,29,0,0,,,,,0,,,,0,,54,0,,,,
,,,,0,,,0,,,302,0,0,,,,,0,,,,0,,24,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,0,,,,0,,24,0,,,,
,,,,0,,,0,,,2,0,0,,,,,0,,,,0,,60,0,,,,
,,,,0,,,0,,,19,0,0,,,,,0,,,,0,,7,0,,,,
,,,,0,,,0,,,-1,0,-1,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,157,0,0,,,,,0,,,,0,,26,0,,,,
,,,,0,,,0,,,33,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,0,0,0,,,,,0,,,,0,,7,0,,,,
,,,,0,,,31,,,722,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,1,,,0,,,9,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,5,54,0,,,,,0,,,,0,,94,0,,,,
,,,,0,,,0,,,3,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,0,,,0,0,0,,,,,0,,,,0,,422,0,,,,
,,,,0,,,0,,,8,0,0,,,,,0,,,,0,,-1,0,,,,
,,,,0,,,52,,,9,0,0,,,,,0,,,,0,,8,0,,,,
,,,,0,,,-1,,,69,0,0,,,,,0,,,,0,,8,0,,,,
,,,,0,,,0,,,48,0,0,,,,,0,,,,0,,1,0,,,,
,,,,0,,,0,,,9,0,0,,,,,,,,,0,,7,0,,,,
,,,,0,,,0,,,5,0,0,,,,,,,,,0,,5,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,,,,,0,,-1,0,,,,
,,,,0,,,0,,,1,-1,0,,,,,,,,,0,,20,0,,,,
,,,,0,,,0,,,8,0,0,,,,,,,,,0,,1,0,,,,
,,,,0,,,0,,,1,0,0,,,,,,,,,0,,58,0,,,,
,,,,0,,,0,,,205,0,0,,,,,,,,,0,,82,0,,,,
,,,,0,,,0,,,401,0,0,,,,,,,,,0,,10,0,,,,
,,,,0,,,0,,,-1,0,0,,,,,,,,,0,,181,0,,,,
,,,,0,,,0,,,0,0,0,,,,,,,,,0,,14,0,,,,
,,,,0,,,0,,,0,0,0,,,,,,,,,0,,25,0,,,,
,,,,0,,,0,,,0,0,0,,,,,,,,,0,,-1,0,,,,
,,,,0,,,0,,,2,0,0,,,,,,,,,0,,5,0,,,,
,,,,0,,,,,,-1,0,0,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,17,0,0,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,151,0,-1,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,415,0,0,,,,,,,,,0,,338,0,,,,
,,,,0,,,,,,33,0,0,,,,,,,,,0,,327,0,,,,
,,,,0,,,,,,0,0,0,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,11,0,0,,,,,,,,,0,,22,0,,,,
,,,,0,,,,,,13,0,0,,,,,,,,,0,,12,0,,,,
,,,,0,,,,,,48,0,2,,,,,,,,,0,,14,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,31,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,520,,0,,,,,,,,,0,,-1,0,,,,
