,Opened drop down menu for feed item,Entering error state,Created comment,Selected all topics,Created post,Viewed /auth/instant-login Page,Viewed notifications,Start,Tried viewing a missing feedItem,Cancelled editing,Viewed /auth/reset-password Page,Viewed space,Viewed content/topic,Opened drop down menu for content,Failed login attempt,Viewed feed/findOne,Viewed /invitation Page,Viewed /auth/register Page,Viewed content/all,Uploaded profile-image,Deleted content,Navigating to feed overview,Viewed /auth/login Page,Deleted comment,Logged in,Deleted post,Viewed feed/topic,Viewed /login Page,Opened intercom,Viewed notification,Logged in through login-screen,Resetted password,Redirecting to login-state from error-state,Downloaded file,Created content,Viewed /onboarding/space Page,UTM events,Logged out,User registered,Navigating to content overview,Uploaded file,End,Viewed feed/all,Saved changes,Opened drop down menu for comment,Selected topic,Viewed /onboarding Page,Viewed /about/privacy-policy Page,Redirecting to media,Viewed content,Finished onboarding,Viewed feedItem,Viewed link
Opened drop down menu for feed item,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0
Entering error state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Created comment,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
Selected all topics,0.0,0.0,0.0,0.03957528957528957,0.0,0.0,0.027992277992277992,0.0,0.0,0.0,0.0,0.06467181467181467,0.0019305019305019305,0.0,0.0,0.0,0.0,0.0,0.08976833976833977,0.0,0.0,0.009652509652509652,0.0009652509652509653,0.0,0.005791505791505791,0.0,0.033783783783783786,0.0,0.003861003861003861,0.0,0.0009652509652509653,0.0,0.0,0.0,0.0,0.0,0.0,0.0028957528957528956,0.0,0.021235521235521235,0.0009652509652509653,0.05115830115830116,0.5704633204633205,0.0,0.0,0.06177606177606178,0.0009652509652509653,0.0,0.0019305019305019305,0.008687258687258687,0.0,0.0,0.0009652509652509653
Created post,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
Viewed /auth/instant-login Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed notifications,0.0,0.0,0.0008771929824561404,0.010526315789473684,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.010526315789473684,0.013157894736842105,0.0,0.0,0.2482456140350877,0.0,0.0,0.06929824561403508,0.0,0.0,0.014035087719298246,0.0008771929824561404,0.0,0.009649122807017544,0.0,0.02631578947368421,0.0,0.05350877192982456,0.1456140350877193,0.002631578947368421,0.0,0.0,0.0,0.0008771929824561404,0.0,0.0,0.013157894736842105,0.0,0.027192982456140352,0.0008771929824561404,0.1543859649122807,0.02017543859649123,0.0,0.0,0.0824561403508772,0.002631578947368421,0.0,0.0008771929824561404,0.05175438596491228,0.0,0.02368421052631579,0.0
Start,0.0,0.0004874482086278333,0.0,0.010723860589812333,0.0,0.0,0.005361930294906166,0.0,0.0004874482086278333,0.0,0.0,0.004874482086278333,0.02315378990982208,0.0,0.0,0.020229100658055083,0.004143309773336583,0.014379722154521083,0.03850840848159883,0.00024372410431391665,0.0,0.002924689251767,0.009261515963928832,0.0,0.4067755300999269,0.0,0.06190592249573483,0.0,0.00073117231294175,0.0,0.03899585669022666,0.0,0.00024372410431391665,0.002924689251767,0.0,0.0009748964172556666,0.028028271996100414,0.003168413356080916,0.0,0.0021935169388252497,0.0004874482086278333,0.0,0.2695588593711918,0.0,0.0,0.022666341701194248,0.0017060687301974165,0.0004874482086278333,0.0004874482086278333,0.014867170363148916,0.0009748964172556666,0.007799171338045333,0.00024372410431391665
Tried viewing a missing feedItem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cancelled editing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
