,Opened drop down menu for feed item,Entering error state,Created comment,Selected all topics,Created post,Viewed /auth/instant-login Page,Viewed notifications,Start,Tried viewing a missing feedItem,Cancelled editing,Viewed /auth/reset-password Page,Viewed space,Viewed content/topic,Opened drop down menu for content,Failed login attempt,Viewed feed/findOne,Viewed /invitation Page,Viewed /auth/register Page,Viewed content/all,Uploaded profile-image,Deleted content,Navigating to feed overview,Viewed /auth/login Page,Deleted comment,Logged in,Deleted post,Viewed feed/topic,Viewed /login Page,Opened intercom,Viewed notification,Logged in through login-screen,Resetted password,Redirecting to login-state from error-state,Downloaded file,Created content,Viewed /onboarding/space Page,UTM events,Logged out,User registered,Navigating to content overview,Uploaded file,End,Viewed feed/all,Saved changes,Opened drop down menu for comment,Selected topic,Viewed /onboarding Page,Viewed /about/privacy-policy Page,Redirecting to media,Viewed content,Finished onboarding,Viewed feedItem,Viewed link
Opened drop down menu for feed item,0,0,0,0,0,0,0.000877193,,0,0.5,0,0,0,0,0,0,0,0,0.0002281542,0,0.6666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001761184,1,0,0.0001656726,0,0,0,0.0004042854,0,0,0
Entering error state,0,0,0,0,0,0,0,,0,0,0,0,0.0006022282,0,0,0,0,0,0.0011407712,0,0,0,0,0,0.0002284148,0,0,0.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002437241,0.0007044734,0,0,0,0,0,0,0,0,0,0
Created comment,0,0,0,0,0,0,0.000877193,,0,0,0,0,0.0003011141,0,0,0,0,0,0,0,0,0,0,0,0.0002284148,0,0,0,0.0076923077,0,0,0,0,0,0,0,0,0,0,0.0010111223,0,0.0012186205,0,0,0,0,0,0,0,0.0002021427,0,0,0
Selected all topics,0,0,0,0.0395752896,0,0,0.0254385965,,0,0,0,0.0369553227,0.0006022282,0,0,0,0,0,0.0212183436,0,0,0.0125628141,0.0036630037,0,0.0013704888,0,0.005073199,0,0.0153846154,0,0.0024038462,0,0,0,0,0,0,0.0222222222,0,0.0222446916,0.0142857143,0.0129173775,0.1040859458,0,0,0.0106030484,0.0063291139,0,0.0540540541,0.0018192844,0,0,0.0181818182
Created post,0.0625,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002284148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010111223,0,0.0004874482,0,0,0,0,0,0,0.027027027,0,0,0,0
Viewed /auth/instant-login Page,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001761184,0,0,0,0,0,0,0,0,0,0
Viewed notifications,0,0,0.0833333333,0.0115830116,0,0,0.0166666667,,0,0,0,0.0066188638,0.0045167118,0,0,0.2454466609,0,0,0.0180241843,0,0,0.0201005025,0.0036630037,0,0.0025125628,0,0.0043484563,0,0.2346153846,0.3458333333,0.0072115385,0,0,0,0.0227272727,0,0,0.1111111111,0,0.0313447927,0.0142857143,0.0428954424,0.0040507221,0,0,0.0155732273,0.0189873418,0,0.027027027,0.0119264201,0,0.0226700252,0
Start,0,0.1428571429,0,0.0424710425,0,0,0.0192982456,,0.2222222222,0,0,0.0110314396,0.0286058416,0,0,0.0719861232,0.1205673759,0.3532934132,0.0360483687,0.1666666667,0,0.0150753769,0.1391941392,0,0.3812243033,0,0.03681693,0,0.0115384615,0,0.3846153846,0,0.1428571429,0.0105633803,0,0.0506329114,0.25,0.0962962963,0,0.0091001011,0.0285714286,0,0.1947868968,0,0,0.0154075547,0.0443037975,1,0.0540540541,0.0123307055,0.0396039604,0.026868178,0.0181818182
Tried viewing a missing feedItem,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0017346054,0,0,0.0002281542,0,0,0,0,0,0.0013704888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancelled editing,0.125,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viewed /auth/reset-password Page,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004568296,0,0,0,0,0,0,0.0769230769,0,0,0,0,0,0,0,0,0,0.0002437241,0,0,0,0,0,0,0,0,0,0,0
Viewed space,0,0,0,0.0395752896,0,0,0.051754386,,0,0,0,0.0237175951,0.1499548329,0,0,0.0026019081,0,0,0.1072324892,0,0.1666666667,0.1494974874,0.0036630037,0,0.0091365921,0,0.0047833019,0,0.0230769231,0.0020833333,0.0096153846,0,0,0.0008802817,0,0,0,0.0074074074,0,0.111223458,0,0.0199853766,0.0107432194,0,0,0.0271703115,0,0,0,0.0129371336,0,0.0033585223,0.1272727273
