space_1,distinct_id,2,3,4,5,6,7,week_login_total
KLS3551 Kulturledelse,5698d6ac41a9d72100240122,0,0,1,0,0,0,1
KLS3551 Kulturledelse,5698d6ac2fb0de2600f225b2,0,0,1,0,1,0,2
KLS3551 Kulturledelse,5698d6a941a9d721002400f8,0,0,0,2,0,0,2
KLS3551 Kulturledelse,5698d6aa41a9d721002400ff,0,3,0,0,0,0,3
KLS3551 Kulturledelse,5698d6a841a9d721002400f6,0,1,0,2,0,0,3
KLS3551 Kulturledelse,5698d6ac2fb0de2600f225b5,0,0,1,3,0,0,4
KLS3551 Kulturledelse,5698d6a841a9d721002400f4,0,2,0,3,0,0,5
KLS3551 Kulturledelse,5698d6a82fb0de2600f22587,0,0,2,3,2,0,7
KLS3551 Kulturledelse,5698d6aa41a9d72100240100,0,1,3,3,0,0,7
KLS3551 Kulturledelse,5698d6aa41a9d72100240105,0,4,1,2,0,0,7
KLS3551 Kulturledelse,5698d6aa2fb0de2600f22594,0,0,4,1,3,0,8
KLS3551 Kulturledelse,5698d6a841a9d721002400f3,0,2,3,3,0,0,8
KLS3551 Kulturledelse,5698d6a82fb0de2600f22585,0,2,1,5,0,0,8
KLS3551 Kulturledelse,5698d6aa41a9d72100240101,0,4,1,4,0,0,9
KLS3551 Kulturledelse,5698d6ab41a9d7210024011b,0,3,4,2,0,0,9
KLS3551 Kulturledelse,5698d6aa2fb0de2600f22590,0,2,3,4,0,0,9
KLS3551 Kulturledelse,5698d6ac2fb0de2600f225b7,0,2,6,2,0,0,10
KLS3551 Kulturledelse,5698d6ab2fb0de2600f225b0,1,3,4,0,2,0,10
KLS3551 Kulturledelse,5698d6ac41a9d72100240129,1,2,3,4,1,0,11
KLS3551 Kulturledelse,5698d6ac41a9d72100240123,0,4,2,3,2,0,11
KLS3551 Kulturledelse,5698d6ac41a9d7210024011e,0,1,4,4,2,0,11
KLS3551 Kulturledelse,5698d6a82fb0de2600f22589,2,3,2,4,1,0,12
KLS3551 Kulturledelse,5698d6a841a9d721002400f5,0,5,4,4,0,0,13
KLS3551 Kulturledelse,5698d6ac41a9d72100240120,0,3,3,6,1,0,13
KLS3551 Kulturledelse,5698d6ab2fb0de2600f225ad,2,6,1,3,1,0,13
KLS3551 Kulturledelse,5698d6ac2fb0de2600f225b3,0,3,0,8,3,0,14
