browser,browser_version,city,commentId,commentMessage,contentId,contentName,contentType,created,currentSpaceId,current_url,device,distinct_id,errorStateCode,event,event_1,feedItemActorId,feedItemActorType,feedItemDescription,feedItemId,feedItemTargetType,feedItemTargetTypeId,feedItemVerbId,hasFinishedOnboarding,hasSetPassword,id,initial_referrer,initial_referring_domain,lib_version,mediaDescription,mediaProviderName,mediaProviderUrl,mediaTitle,mediaType,mediaUrl,mp_country_code,mp_lib,name,notificationActorId,notificationActorType,notificationDescription,notificationId,notificationTargetType,notificationTargetTypeId,notificationVerbId,os,path,postId,postMessage,referrer,referrer.1,referring_domain,region,screen,screen_height,screen_width,search,spaceId,space_1,time,time_1,title,topic,topicId,topicName,updatedAt,url,usingStandaloneApp,utmTargetURL,utm_medium,utm_source
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,5693844d2bea66f99e5af2e6,,Opened intercom,Opened intercom,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452855258,2016-01-15 11:54:18,,all,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,5693844d2bea66f99e5af2e6,,Logged in,Logged in,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452856592,2016-01-15 12:16:32,,all,,,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,5693844d2bea66f99e5af2e6,,Viewed /spaces/569384db2bea66f99e5af2e7/topics//feed Page,Viewed feed/all,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,,,,,,Windows,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452856592,2016-01-15 12:16:32,Trive - Master anything,all,,,2016-01-11T12:23:48,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,False,,,
Chrome,47.0,Moss,,,,,,2016-01-10T21:05:41,56936bd32bea66f99e5af2a7,https://my.triveapp.com/auth/login,,569368472bea66f99e5af2a5,,Viewed /auth/login Page,Viewed /auth/login Page,,,,,,,,True,True,569368472bea66f99e5af2a5,$direct,$direct,2.7.2,,,,,,,NO,web,/auth/login,,,,,,,,Windows,/auth/login,,,,,,Østfold,,768,1366,,,,1452857551,2016-01-15 12:32:31,Trive - Master anything,,,,2016-01-11T14:50:00,https://my.triveapp.com/auth/login,False,,,
Chrome,47.0,Moss,,,,,,2016-01-10T21:05:41,56936bd32bea66f99e5af2a7,https://my.triveapp.com/auth/login,,569368472bea66f99e5af2a5,,Logged out,Logged out,,,,,,,,True,True,569368472bea66f99e5af2a5,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Østfold,,768,1366,,,,1452857583,2016-01-15 12:33:03,,,,,2016-01-11T14:50:00,,False,,,
Chrome,47.0,Moss,,,,,,2016-01-10T21:05:41,56936bd32bea66f99e5af2a7,https://my.triveapp.com/auth/login,,569368472bea66f99e5af2a5,,Logged in through login-screen,Logged in through login-screen,,,,,,,,True,True,569368472bea66f99e5af2a5,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Østfold,,768,1366,,,,1452857614,2016-01-15 12:33:34,,,,,2016-01-11T14:50:00,,False,,,
Chrome,47.0,Moss,,,,,,2016-01-10T21:05:41,56936bd32bea66f99e5af2a7,https://my.triveapp.com/spaces/56936bd32bea66f99e5af2a7/topics//feed,,569368472bea66f99e5af2a5,,Logged in,Logged in,,,,,,,,True,True,569368472bea66f99e5af2a5,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Østfold,feed,768,1366,,,ORG3402 Organisasjonsatferd og ledelse,1452857614,2016-01-15 12:33:34,,all,,,2016-01-11T14:50:00,,False,,,
Chrome,47.0,Moss,,,,,,2016-01-10T21:05:41,56936bd32bea66f99e5af2a7,https://my.triveapp.com/auth/login,,569368472bea66f99e5af2a5,,Viewed /spaces/56936bd32bea66f99e5af2a7/topics//feed Page,Viewed feed/all,,,,,,,,True,True,569368472bea66f99e5af2a5,$direct,$direct,2.7.2,,,,,,,NO,web,/spaces/56936bd32bea66f99e5af2a7/topics//feed,,,,,,,,Windows,/auth/login,,,,,,Østfold,feed,768,1366,,,ORG3402 Organisasjonsatferd og ledelse,1452857614,2016-01-15 12:33:34,Trive - Master anything,all,,,2016-01-11T14:50:00,https://my.triveapp.com/auth/login,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,5693844d2bea66f99e5af2e6,,Selected topic,Selected topic,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,,,,,,,,,Windows,,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452859362,2016-01-15 13:02:42,,all,56976cb88b0c7f2700041dc5,Foiler til hvert kapittel,2016-01-11T12:23:48,,False,,,
Chrome,47.0,Stavanger,,,,,,2016-01-10T21:05:41,569384db2bea66f99e5af2e7,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,5693844d2bea66f99e5af2e6,,Viewed /spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed Page,Viewed feed/topic,,,,,,,,True,True,5693844d2bea66f99e5af2e6,$direct,$direct,2.7.2,,,,,,,NO,web,/spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed,,,,,,,,Windows,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,,,,Rogaland Fylke,feed,900,1600,,,MRK3480 Forbrukeratferd,1452859362,2016-01-15 13:02:42,Trive - Master anything,foiler-til-hvert-kapittel,,,2016-01-11T12:23:48,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,False,,,
