,Downloaded file,Viewed space,Viewed link,Opened left sidebar,Clicked View all announcements,End,Viewed /auth/login Page,Viewed /auth/reset-password Page,Logged in,Viewed announcements,Opened right sidebar from a content list item,Logged out,Viewed /onboarding Page,Viewed folder,Finished onboarding,Viewed /invitation Page,Viewed content,Opened right sidebar from the toolbar,Closed right sidebar,Start,Opened intercom,Viewed /onboarding/space Page,Resetted password,Viewed /auth/instant-login Page
Downloaded file,0.0333716915995397,0.11507479861910241,0.01380897583429229,0.0023014959723820483,0.0,0.42692750287687,0.0011507479861910242,0.0,0.04372842347525892,0.0,0.0,0.0011507479861910242,0.0,0.018411967779056387,0.0,0.0011507479861910242,0.3383199079401611,0.004602991944764097,0.0,0.0,0.0,0.0,0.0,0.0
Viewed space,0.0001807991321641656,0.0036159826432833123,0.0001807991321641656,0.03489423250768396,0.023323088049177362,0.0978123305008136,0.0039775809076116435,0.0,0.04339179171939975,0.0003615982643283312,0.0003615982643283312,0.0007231965286566625,0.0,0.7848490327246429,0.0,0.00451997830410414,0.001446393057313325,0.0,0.0,0.0,0.0001807991321641656,0.0001807991321641656,0.0,0.0
Viewed link,0.0016420361247947454,0.3399014778325123,0.1535303776683087,0.0,0.0,0.3284072249589491,0.0,0.0,0.018883415435139574,0.0,0.0,0.0008210180623973727,0.0,0.0016420361247947454,0.0,0.0,0.15517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opened left sidebar,0.0,0.07894736842105263,0.0,0.10150375939849623,0.03007518796992481,0.18796992481203006,0.0,0.0,0.06766917293233082,0.0,0.0037593984962406013,0.06766917293233082,0.0,0.4323308270676692,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.022556390977443608,0.0,0.0,0.0
Clicked View all announcements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,,,,,,,,,,,,,,,,,,,,,,,,
Viewed /auth/login Page,0.0,0.11594202898550725,0.0,0.014492753623188406,0.014492753623188406,0.13043478260869565,0.08695652173913043,0.014492753623188406,0.3188405797101449,0.0,0.0,0.10144927536231885,0.0,0.2028985507246377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /auth/reset-password Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
Logged in,0.00196078431372549,0.8326797385620915,0.0022875816993464053,0.0032679738562091504,0.0032679738562091504,0.029411764705882353,0.00261437908496732,0.000980392156862745,0.006535947712418301,0.0,0.0,0.00130718954248366,0.0,0.06666666666666667,0.000326797385620915,0.00196078431372549,0.04215686274509804,0.0,0.0,0.0,0.0,0.0,0.004575163398692811,0.0
Viewed announcements,0.0,0.8961038961038961,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opened right sidebar from a content list item,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
Logged out,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.48717948717948717,0.02564102564102564,0.05128205128205128,0.358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
Viewed /onboarding Page,0.0,0.18181818181818182,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed folder,0.0,0.23631123919308358,0.16849183477425553,0.0011527377521613833,0.0,0.04303554274735831,0.00038424591738712776,0.0,0.0067243035542747355,0.0,0.00019212295869356388,0.0,0.0,0.0,0.0,0.00019212295869356388,0.5433237271853987,0.00019212295869356388,0.0,0.0,0.0,0.0,0.0,0.0
Finished onboarding,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /invitation Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed content,0.15930824008138353,0.15523906408952187,0.019735503560528993,0.002034587995930824,0.0,0.3180061037639878,0.0006103763987792472,0.0,0.053713123092573756,0.0,0.0002034587995930824,0.0,0.0,0.01098677517802645,0.0,0.0012207527975584944,0.27711088504577824,0.0018311291963377416,0.0,0.0,0.0,0.0,0.0,0.0
Opened right sidebar from the toolbar,0.0,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.15789473684210525,0.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0
Closed right sidebar,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
Start,0.014607425441265977,0.07851491174680462,0.010651247717589775,0.0033475349969567863,0.0009129640900791236,0.0,0.007912355447352405,0.0,0.7175897748021911,0.0,0.0,0.0009129640900791236,0.0,0.1323797930614729,0.0006086427267194157,0.0015216068167985392,0.02982349360925137,0.0009129640900791236,0.0,0.0,0.0,0.0,0.00030432136335970786,0.0
Opened intercom,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
Viewed /onboarding/space Page,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resetted password,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viewed /auth/instant-login Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
