,Frilanser,Kulturpolitikk - Sigrid Røyseng,1. Forelesning - Kunstledelse,Veiledningstid,Produksjon,INVITASJON - Jarle Bernhoft,Siste forelesning,Kunstneriske grupper,Festival,Informasjon om Kulturledelse KLS3551,Nettverk,Start,End
Frilanser,0.2898550724637681,0.0,0.10144927536231885,0.0,0.0,0.043478260869565216,0.0,0.10144927536231885,0.0,0.2463768115942029,0.014492753623188406,0.0,0.2028985507246377
Kulturpolitikk - Sigrid Røyseng,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
1. Forelesning - Kunstledelse,0.0171990171990172,0.0,0.4004914004914005,0.0,0.002457002457002457,0.012285012285012284,0.0,0.012285012285012284,0.002457002457002457,0.36855036855036855,0.002457002457002457,0.0,0.18181818181818182
Veiledningstid,0.046511627906976744,0.0,0.023255813953488372,0.4418604651162791,0.0,0.011627906976744186,0.0,0.10465116279069768,0.011627906976744186,0.11627906976744186,0.0,0.0,0.2441860465116279
Produksjon,0.0,0.0,0.125,0.0,0.25,0.0625,0.0,0.1875,0.0,0.0,0.25,0.0,0.125
INVITASJON - Jarle Bernhoft,0.01,0.0,0.09,0.0,0.0,0.39,0.0,0.01,0.0,0.37,0.0,0.0,0.13
Siste forelesning,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.3333333333333333,0.06666666666666667,0.0,0.26666666666666666,0.06666666666666667,0.0,0.2
Kunstneriske grupper,0.014925373134328358,0.0,0.07462686567164178,0.19402985074626866,0.0,0.0,0.014925373134328358,0.31343283582089554,0.0,0.13432835820895522,0.0,0.0,0.2537313432835821
Festival,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.13043478260869565,0.0,0.2608695652173913,0.13043478260869565,0.0,0.0,0.34782608695652173
Informasjon om Kulturledelse KLS3551,0.009560229445506692,0.0009560229445506692,0.09751434034416825,0.004780114722753346,0.0,0.015296367112810707,0.0009560229445506692,0.0038240917782026767,0.0028680688336520078,0.5602294455066922,0.0009560229445506692,0.0,0.3030592734225621
Nettverk,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.3
Start,0.04198473282442748,0.003816793893129771,0.17938931297709923,0.05216284987277354,0.008905852417302799,0.05089058524173028,0.011450381679389313,0.030534351145038167,0.008905852417302799,0.6081424936386769,0.003816793893129771,0.0,0.0
End,,,,,,,,,,,,,
